corruption_levels,cross_margin
0.0,"(0.35725661408257076,)"
0.0,"(0.12549818470253155,)"
0.0,"(-0.06360824395254586,)"
0.0,"(0.3269107460423729,)"
0.0,"(0.29367143883592967,)"
0.0,"(0.3753676030285985,)"
0.0,"(0.07403007451920915,)"
0.0,"(0.3584230663481863,)"
0.0,"(0.24797476731862236,)"
0.0,"(0.2688284285040958,)"
0.0,"(0.05584720936548281,)"
0.0,"(0.2934537660844241,)"
0.0,"(0.1224211845579929,)"
0.0,"(0.29339811233511776,)"
0.0,"(0.4805740187280277,)"
0.0,"(-0.08387209655041458,)"
0.0,"(0.3116241273598648,)"
0.0,"(0.3616157228002329,)"
0.0,"(0.35001532945351316,)"
0.0,"(0.2836279704319898,)"
0.0,"(0.3219601055438638,)"
0.0,"(-0.032790859823565145,)"
0.0,"(0.23455367113065723,)"
0.0,"(0.20515042278384216,)"
0.0,"(0.18740541594053295,)"
0.0,"(-0.04251949448392905,)"
0.0,"(-0.20281504512399362,)"
0.0,"(-0.39198951402336074,)"
0.0,"(0.2857125278730832,)"
0.0,"(0.20398366077115776,)"
0.0,"(0.055660236617741804,)"
0.0,"(0.24961164165399918,)"
0.0,"(-0.20751047662428795,)"
0.0,"(0.2869754528084075,)"
0.0,"(-0.28056647180008215,)"
0.0,"(0.24805142782071848,)"
0.0,"(0.3456032634373606,)"
0.0,"(0.444871066072132,)"
0.0,"(0.21000078645881906,)"
0.0,"(0.0088658606204116,)"
0.0,"(0.17982408367218372,)"
0.0,"(0.3487984754819622,)"
0.0,"(-0.1555825007949909,)"
0.0,"(0.035994412014066585,)"
0.0,"(-0.28963445756159195,)"
0.0,"(0.0715175206766785,)"
0.0,"(0.2227528932730793,)"
0.0,"(0.32881998531006695,)"
0.0,"(-0.2771745538506354,)"
0.0,"(0.37854886933385956,)"
0.0,"(0.3466695438168268,)"
0.0,"(0.32772719847288423,)"
0.0,"(0.09462911451768255,)"
0.0,"(0.2479772361584261,)"
0.0,"(0.24957659993203765,)"
0.0,"(0.10187107648672157,)"
0.0,"(0.256011206534397,)"
0.0,"(0.5210583787076928,)"
0.0,"(-0.04888453476432119,)"
0.0,"(0.35404708634356474,)"
0.0,"(0.4189438228129869,)"
0.0,"(0.18576842976387006,)"
0.0,"(-0.11096946266685385,)"
0.0,"(0.4765035953872947,)"
0.0,"(-0.2778572039112295,)"
0.0,"(0.3361180494675305,)"
0.0,"(-0.15811050203647695,)"
0.0,"(0.43126907359039474,)"
0.0,"(0.5058390343439274,)"
0.0,"(0.011077955115428112,)"
0.0,"(0.3623251240300442,)"
0.0,"(0.3657138013553329,)"
0.0,"(0.2343689734675661,)"
0.0,"(0.23950274131405921,)"
0.0,"(0.4613724468439666,)"
0.0,"(0.24923620112541456,)"
0.0,"(0.25163968207062,)"
0.0,"(0.3132411537658478,)"
0.0,"(0.11093807270431555,)"
0.0,"(0.2117374396871282,)"
0.0,"(-0.028735546535056503,)"
0.0,"(0.22064793785407205,)"
0.0,"(0.1507555169312067,)"
0.0,"(0.48037073685200293,)"
0.0,"(0.24331820930177284,)"
0.0,"(0.2500731096909162,)"
0.0,"(-0.0013852628859936798,)"
0.0,"(0.25316014483901583,)"
