corruption_levels,cross_margin
0.0,"(0.23385135201165597,)"
0.0,"(0.40273543001187606,)"
0.0,"(0.17753683875474513,)"
0.0,"(0.29288945682395795,)"
0.0,"(0.2337364145689633,)"
0.0,"(0.4708709899083074,)"
0.0,"(-0.24364036202296138,)"
0.0,"(0.07134714144819591,)"
0.0,"(-0.1391878216344426,)"
0.0,"(0.10549760665048201,)"
0.0,"(0.2910865518094431,)"
0.0,"(0.1605690894962971,)"
0.0,"(0.44665302221520065,)"
0.0,"(0.032185267665217725,)"
0.0,"(0.49257837108980823,)"
0.0,"(0.38276155590372096,)"
0.0,"(0.18100048980569247,)"
0.0,"(0.5049332981591355,)"
0.0,"(0.276182035575262,)"
0.0,"(0.26236200874596055,)"
0.0,"(-0.004175303543177042,)"
0.0,"(0.6310212737924122,)"
0.0,"(0.4880992448242414,)"
0.0,"(-0.14827093489700122,)"
0.0,"(0.49814041216711896,)"
0.0,"(0.22388689172879503,)"
0.0,"(0.04749931288445303,)"
0.0,"(0.29697200047001676,)"
0.0,"(0.3333084399055254,)"
0.0,"(0.3952678693922177,)"
0.0,"(0.40988599516639695,)"
0.0,"(-0.22779458508753936,)"
0.0,"(0.4156096601711282,)"
0.0,"(0.4005052907702686,)"
0.0,"(-0.07399196612233733,)"
0.0,"(-0.01384821682663411,)"
0.0,"(0.449931622713213,)"
0.0,"(-0.1321661482618589,)"
0.0,"(-0.23027896016413024,)"
0.0,"(-0.28118974502108357,)"
0.0,"(0.6157232959181831,)"
0.0,"(-0.2334697790816253,)"
0.0,"(0.4428141605982614,)"
0.0,"(0.29040465617459266,)"
0.0,"(0.2215447767530494,)"
0.0,"(0.49175369329683666,)"
0.0,"(0.2134824005645147,)"
0.0,"(0.41548070437264517,)"
0.0,"(0.2390970333883628,)"
0.0,"(0.26252078373671406,)"
0.0,"(0.23309058672708793,)"
0.0,"(0.26087578557551433,)"
0.0,"(-0.022102849295791767,)"
0.0,"(0.4144057323789615,)"
0.0,"(0.37957406645841263,)"
0.0,"(-0.024038729432896852,)"
0.0,"(0.48618029015693226,)"
0.0,"(0.1717940711841507,)"
0.0,"(0.2741642810517999,)"
0.0,"(0.04254972309860642,)"
0.0,"(0.18579426854533945,)"
0.0,"(0.4206473036931788,)"
0.0,"(0.45497915564020786,)"
0.0,"(0.2613914315290036,)"
0.0,"(0.299202606287782,)"
0.0,"(0.2786000457488299,)"
0.0,"(0.42022250392738836,)"
0.0,"(0.24305147992396717,)"
0.0,"(0.2719824264848817,)"
0.0,"(0.22581600085604212,)"
0.0,"(0.2337283014698841,)"
0.0,"(0.5068996780269314,)"
0.0,"(-0.13091049185348005,)"
0.0,"(-0.022762443993647113,)"
0.0,"(0.16529434094733542,)"
0.0,"(0.23698900026046923,)"
0.0,"(0.3166780847120561,)"
0.0,"(0.34397881480057685,)"
0.0,"(-0.26442154945829144,)"
0.0,"(0.14769899322081645,)"
0.0,"(0.11727749826672496,)"
0.0,"(0.3620970885620055,)"
0.0,"(0.12975348831534456,)"
0.0,"(-0.20812688202430935,)"
0.0,"(0.36893966710257153,)"
0.0,"(0.46065634076981216,)"
0.0,"(0.0533936331251972,)"
0.0,"(0.4405250903103561,)"
0.0,"(0.12764482892778087,)"
0.0,"(0.1911165446504538,)"
0.0,"(0.2625369857491827,)"
0.0,"(0.44452244456431594,)"
0.0,"(0.43846816738019895,)"
0.0,"(-0.018940747932072486,)"
0.0,"(0.45291419265943894,)"
0.0,"(-0.3993031201672524,)"
0.0,"(0.4451576095665552,)"
0.0,"(0.47259011349432,)"
0.0,"(0.22148493150096585,)"
0.0,"(0.26156595795189064,)"
0.0,"(0.0036746557419413605,)"
0.0,"(-0.1540649223145342,)"
0.0,"(0.012696047388865398,)"
0.0,"(0.3800478705471951,)"
0.0,"(0.38688653972454223,)"
0.0,"(-0.31966729070081046,)"
0.0,"(0.1900522594782889,)"
0.0,"(0.25828693244291656,)"
0.0,"(0.30685914340272186,)"
0.0,"(0.46884292406301376,)"
0.0,"(-0.1055879434721989,)"
0.0,"(0.08231044236758102,)"
0.0,"(0.2724640324106859,)"
0.0,"(-0.11170202428240525,)"
0.0,"(-0.10557071329474452,)"
0.0,"(0.47262372046128975,)"
0.0,"(0.37715544411876595,)"
0.0,"(0.3062036131755887,)"
0.0,"(0.07973675794832895,)"
0.0,"(0.21068593073423894,)"
0.0,"(0.31043284933774495,)"
0.0,"(0.23375204849317185,)"
0.0,"(0.28834825650295137,)"
0.0,"(-0.06188189408127152,)"
0.0,"(0.3495710777739159,)"
0.0,"(0.22551883426516717,)"
0.0,"(-0.15592130407197033,)"
0.0,"(0.42520676396336593,)"
0.0,"(0.404854808629662,)"
0.0,"(0.5006120902158842,)"
0.0,"(0.25739965992757585,)"
0.0,"(0.5635842805674125,)"
0.0,"(0.20308403901114178,)"
0.0,"(0.29437595489776064,)"
0.0,"(0.13237329182882737,)"
0.0,"(0.23708335834006433,)"
0.0,"(0.08874863968843072,)"
0.0,"(0.12893308234782366,)"
0.0,"(-0.1704697429679311,)"
0.0,"(-0.01785018492091763,)"
0.0,"(-0.3982535211690662,)"
0.0,"(0.39422696114220657,)"
0.0,"(0.14150383949903161,)"
0.0,"(0.14815724979815217,)"
0.0,"(0.3398841455755459,)"
0.0,"(0.29087416640974184,)"
0.0,"(0.29181546199873404,)"
0.0,"(0.2616704428299073,)"
0.0,"(-0.33433600923804563,)"
0.0,"(0.23379901736945816,)"
0.0,"(0.15701461249088633,)"
0.0,"(0.3129808618237467,)"
0.0,"(0.04327779003595066,)"
0.0,"(0.49491141637233693,)"
0.0,"(0.27012319947206354,)"
0.0,"(0.5619244153546273,)"
0.0,"(0.17514564307556232,)"
0.0,"(0.203641352146383,)"
0.0,"(-0.11772964686192303,)"
0.0,"(0.1428416347741486,)"
0.0,"(0.005687018641954601,)"
0.0,"(0.10979243103395951,)"
0.0,"(0.11955691252600785,)"
0.0,"(0.23573642501313738,)"
0.0,"(0.2575804108443709,)"
0.0,"(0.37687071026911145,)"
0.0,"(0.3019190819077911,)"
0.0,"(0.40369183687454424,)"
0.0,"(0.4738864704178646,)"
0.0,"(0.2590335671502892,)"
0.0,"(-0.05911158061864513,)"
