corruption_levels,cross_margin
0.0,"(4.1702597589410475,)"
0.0,"(4.169782790591213,)"
0.0,"(4.169609131663709,)"
0.0,"(4.170403322676535,)"
0.0,"(4.169782790591213,)"
0.0,"(4.170227994805346,)"
0.0,"(4.171078461966966,)"
0.0,"(4.170690486312764,)"
0.0,"(-4.137346948483682,)"
0.0,"(4.169999367645684,)"
0.0,"(-4.169704104703178,)"
0.0,"(-4.170128454198388,)"
0.0,"(4.177468181951055,)"
0.0,"(4.177468181951055,)"
0.0,"(4.169616615918636,)"
0.0,"(4.175530312800778,)"
0.0,"(3.9813793838264226,)"
0.0,"(4.170719986269017,)"
0.0,"(4.171728993215688,)"
0.0,"(4.170504756161808,)"
0.0,"(4.170387170742221,)"
0.0,"(4.1822713180156414,)"
0.0,"(-4.172235296254589,)"
0.0,"(4.173117314662263,)"
0.0,"(-4.174685478885097,)"
0.0,"(4.170059179424139,)"
0.0,"(4.184083598997942,)"
0.0,"(4.14856618605336,)"
0.0,"(4.16991382527409,)"
0.0,"(-4.169740199497107,)"
0.0,"(4.172371467466442,)"
0.0,"(4.171047553728413,)"
0.0,"(-4.169258562385793,)"
0.0,"(4.1700925517589225,)"
0.0,"(4.171660566915681,)"
0.0,"(4.171660566915681,)"
0.0,"(4.169434608271262,)"
0.0,"(4.1739553334172586,)"
0.0,"(4.171166343859012,)"
0.0,"(-4.169369830141638,)"
0.0,"(-4.169066991162315,)"
0.0,"(4.169884597100272,)"
0.0,"(4.1698651966364935,)"
0.0,"(4.171867702453134,)"
0.0,"(4.171950573710488,)"
0.0,"(4.171950573710488,)"
0.0,"(-4.171078569880083,)"
0.0,"(4.170249614555391,)"
0.0,"(4.172055793792822,)"
0.0,"(4.157755256627794,)"
0.0,"(4.170665489895151,)"
0.0,"(4.174116525125874,)"
0.0,"(-4.173618772921349,)"
0.0,"(4.169982102724365,)"
0.0,"(4.169100330966015,)"
0.0,"(4.191025036965004,)"
0.0,"(4.169868376185104,)"
0.0,"(-4.177805297204904,)"
0.0,"(4.175129887520364,)"
0.0,"(4.169100330966015,)"
0.0,"(4.137518476482272,)"
0.0,"(-4.028132711107707,)"
0.0,"(-4.168804848651694,)"
0.0,"(-4.169409283954873,)"
0.0,"(-4.168804848651694,)"
0.0,"(4.169820247714944,)"
0.0,"(4.169394043118795,)"
0.0,"(4.169820247714944,)"
0.0,"(4.15419031831404,)"
0.0,"(4.1697739608051245,)"
0.0,"(-4.1709792184086485,)"
0.0,"(4.1749743248171125,)"
0.0,"(4.17011840035808,)"
0.0,"(4.170900155068258,)"
0.0,"(-4.172590943160727,)"
0.0,"(-4.169636941173133,)"
0.0,"(4.169233252117154,)"
0.0,"(-4.170096026976403,)"
0.0,"(4.169172337758467,)"
0.0,"(4.170152034352026,)"
0.0,"(4.173180114104878,)"
0.0,"(-4.16957063714007,)"
0.0,"(4.1719119179510065,)"
0.0,"(4.173481013390329,)"
0.0,"(4.148213994861208,)"
0.0,"(4.148213994861208,)"
0.0,"(-4.171374045598953,)"
0.0,"(-4.169685110869322,)"
0.0,"(4.170429428474992,)"
0.0,"(4.170086635652678,)"
0.0,"(4.169906060587673,)"
0.0,"(4.168974743531614,)"
0.0,"(-3.9997196058549433,)"
0.0,"(-3.9997196058549433,)"
0.0,"(4.17451205047018,)"
