"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"13","310.52901891045644","169.49512006781458","0.019287109375","0.0166015625","0.02197265625","1560","0.000288313233469691","24","0.000288313233469691","0","0.000288313233469691","0.000288313233469691","12:68;14:68","12:0.005424452352254333;14:0.0017279928635415553","12:0.0036821066999548624;14:0.003868288675123649","0.019287109375","Yes"
"14","212.86023181476833","59.854743712213825","0.006591796875","0.005126953125","0.008056640625","1560","0.0001790107347744238","24","0.0001790107347744238","0","0.0001790107347744238","0.0001790107347744238","15:68;13:68","15:0.0016557264242838265;13:0.0017279928635415553","15:0.005131476700953902;13:0.003868288675123649","0.006591796875","Yes"
"15","328.8609840961149","175.90366614744616","0.0166015625","0.0146484375","0.0185546875","1560","0.0003864275050536816","24","0.0003864275050536816","0","0.0003864275050536816","0.0003864275050536816","14:68;19:68","14:0.0016557264242838265;19:0.00215179284312772","14:0.005131476700953902;19:0.002499750719237276","0.0166015625","Yes"
"16","153.16280777122344","120.66706205789315","0.0059814453125","0.009033203125","0.0029296875","1560","0.00040166584316706866","24","0.00040166584316706866","0","0.00040166584316706866","0.00040166584316706866","23:68;3:68","23:0.004195399983823067;3:0.004375499571503683","23:0.0039051641226457434;3:0.001784305136783404","0.0059814453125","Yes"
"17","200.93323551412118","113.67689497911537","0.1337890625","0.134033203125","0.133544921875","1560","","24","","0","","","7:68;27:68","7:0.003028043701846145;27:0.026926166466685025","7:0.0031236257058134542;27:0.030660895995777926","0.1337890625","Yes"
"18","144.9512676234734","71.81990106629316","0.009033203125","0.011474609375","0.006591796875","1560","0.00043153486331475277","24","0.00043153486331475277","0","0.00043153486331475277","0.00043153486331475277","11:68;31:68","11:0.011177300873409401;31:0.0028138069680586353","11:0.0030825170911776;31:0.0026175217653473526","0.009033203125","Yes"
"19","173.2481719867402","174.09475097260434","0.0086669921875","0.0078125","0.009521484375","1560","0.0007718064357194588","24","0.0007718064357194588","0","0.0007718064357194588","0.0007718064357194588","35:68;15:68","35:0.0017763030240460498;15:0.00215179284312772","35:0.0018486779416151122;15:0.002499750719237276","0.0086669921875","Yes"
"20","154.9718649396439","185.86836169777294","0.0128173828125","0.017822265625","0.0078125","1560","0.00023588062564512203","24","0.00023588062564512203","0","0.00023588062564512203","0.00023588062564512203","21:68","21:0.003706831183077547","21:0.0025514566021250518","0.0128173828125","Yes"
"21","218.3974489760675","164.0472019733015","0.0098876953125","0.01025390625","0.009521484375","1560","0.00020119394884618384","24","0.00020119394884618384","0","0.00020119394884618384","0.00020119394884618384","36:68;20:68;22:68","36:0.00791112747594655;20:0.003706831183077547;22:0.0029152466298511537","36:0.005246135465578866;20:0.0025514566021250518;22:0.0019645282964336763","0.0098876953125","Yes"
"22","216.12943014448192","143.57288245654078","0.005126953125","0.007080078125","0.003173828125","1560","0.00019502218793272777","24","0.00019502218793272777","0","0.00019502218793272777","0.00019502218793272777","23:68;21:68","23:0.0015287184008861143;21:0.0029152466298511537","23:0.0016540552632067218;21:0.0019645282964336763","0.005126953125","Yes"
"23","208.80208260947845","128.57760399676502","0.0072021484375","0.00732421875","0.007080078125","1560","0.00017991089631439082","24","0.00017991089631439082","0","0.00017991089631439082","0.00017991089631439082","22:68;24:68;16:68","22:0.0015287184008861143;24:0.009168384238058547;16:0.004195399983823067","22:0.0016540552632067218;24:0.010649824117784201;16:0.0039051641226457434","0.0072021484375","Yes"
